locus,rsid,chr,pos,pip,gene,Astro,Sst
8:4180090_T_A,rs10046758,8,4184170,0.06716,CSMD1,0.026918796262234673,0.02107519955933094
8:4180090_T_A,rs10098869,8,4208761,0.04845,CSMD1,0.03373658445065584,0.09633359902352094
8:4180090_T_A,rs10108772,8,4178791,0.01638,CSMD1,0.0,0.008899999782443047
8:4180090_T_A,rs10113290,8,4180292,0.1839,CSMD1,0.0,0.0
8:4180090_T_A,rs10503253,8,4180844,0.377,CSMD1,0.034682142681309154,0.020441848648725634
8:4180090_T_A,rs13261217,8,4183057,0.05094,CSMD1,0.023399999365210533,0.022882172158169546
8:4180090_T_A,rs13269120,8,4182519,0.1839,CSMD1,0.023399999365210533,0.022659399557858704
8:4180090_T_A,rs6558863,8,4194883,0.01329,CSMD1,0.0,0.03494878005475929
8:4180090_T_A,rs9314525,8,4183960,0.01517,CSMD1,0.032439451174785014,0.025827799428254365
rs10035564,rs10035564,5,45252500,0.5247,-,0.0,0.047009799402207134
rs10035564,rs10044408,5,45388789,0.005135,HCN1,0.023399999365210533,0.08285899969190359
rs10035564,rs10051592,5,45090306,0.002217,RP11-357F12.1,0.04315640050337801,0.008899999782443047
rs10035564,rs10512875,5,45250730,0.03971,-,0.051531855243972795,0.0647385997697711
rs10035564,rs16902086,5,45285752,0.2632,HCN1,0.0,0.042595399349927905
rs10035564,rs4492120,5,45187804,0.093,-,0.03515154089663785,0.047116599526256325
rs10035564,rs6859397,5,45136050,0.01966,-,0.023399999365210533,0.07422599956393242
rs10035564,rs6888352,5,45325915,0.001353,HCN1,0.023399999365210533,0.020818068922524996
rs10035564,rs7717890,5,45309477,0.001353,HCN1,0.023399999365210533,0.044517799366265536
rs10069930,rs10036519,5,140151701,0.001991,-,0.14114880245923997,0.11244259959459305
rs10069930,rs10037757,5,140197222,0.004238,PCDHA1,0.0386944327695468,0.11778259953856468
rs10069930,rs10038174,5,140210616,0.003361,PCDHA1,0.03397874981164932,0.028818199340254067
rs10069930,rs10050455,5,140204650,0.003912,PCDHA1,0.10983960063755513,0.12048819872736931
rs10069930,rs10053586,5,140210760,0.001991,PCDHA1,0.03421079977601767,0.026125805812977975
rs10069930,rs10053945,5,140160127,0.004238,-,0.041619846497783226,0.02518821885834818
